fecha,zona,dia_semana,mes,promocion,demanda_lag7,demanda
2023-01-08,1,6,1,0,102.68012715007603,104.1256602969341
2023-01-08,2,6,1,0,134.50964385887386,123.72594051001738
2023-01-08,3,6,1,0,135.6289413562543,150.10339177223574
2023-01-08,4,6,1,0,147.23231657204232,147.71148432711428
2023-01-09,1,0,1,0,100.5245177311297,85.32893919336802
2023-01-09,2,0,1,0,107.32032317186828,107.85855538168501
2023-01-09,3,0,1,0,123.46838199681615,99.11971601681067
2023-01-09,4,0,1,0,112.69111594742074,120.78215522649873
2023-01-10,1,1,1,0,104.58256394510146,92.60059271210997
2023-01-10,2,1,1,0,117.13152080471522,99.2031115878582
2023-01-10,3,1,1,0,105.74799498390215,132.55678233808183
2023-01-10,4,1,1,0,128.3511427476051,135.75151256713244
2023-01-11,1,2,1,0,90.47005926125134,87.55256364476847
2023-01-11,2,2,1,0,100.25423852103712,108.6776476401199
2023-01-11,3,2,1,0,134.7032240834711,131.64763431005252
2023-01-11,4,2,1,0,124.51738213736186,125.41706870578831
2023-01-12,1,3,1,0,108.17564857941136,91.76376414344958
2023-01-12,2,3,1,0,131.07918598781228,105.32205201600371
2023-01-12,3,3,1,0,117.32944016279342,124.29721916781423
2023-01-12,4,3,1,0,143.84994929364422,131.8196999775097
2023-01-13,1,4,1,0,99.22233548343159,90.18293159609416
2023-01-13,2,4,1,0,101.83804683997222,94.11793306968538
2023-01-13,3,4,1,0,117.16029832693049,118.7943151953354
2023-01-13,4,4,1,1,132.2570384256662,148.0423940383298
2023-01-14,1,5,1,0,120.01792965574427,113.92355251491263
2023-01-14,2,5,1,0,122.08632086577731,108.85902309648495
2023-01-14,3,5,1,0,139.35101603289743,129.84435388093826
2023-01-14,4,5,1,0,145.40294540257895,129.5087484798628
2023-01-15,1,6,1,1,104.1256602969341,136.44656802406305
2023-01-15,2,6,1,1,123.72594051001738,154.00035137366422
2023-01-15,3,6,1,0,150.10339177223574,142.18844224114093
2023-01-15,4,6,1,0,147.71148432711428,150.58647764605104
2023-01-16,1,0,1,0,85.32893919336802,89.74867986892308
2023-01-16,2,0,1,0,107.85855538168501,86.91668194129718
2023-01-16,3,0,1,0,99.11971601681067,119.21455783464657
2023-01-16,4,0,1,0,120.78215522649873,127.90218638530996
2023-01-17,1,1,1,0,92.60059271210997,86.48981817401697
2023-01-17,2,1,1,0,99.2031115878582,103.69760802693915
2023-01-17,3,1,1,0,132.55678233808183,114.50688452840224
2023-01-17,4,1,1,1,135.75151256713244,138.56231941536117
2023-01-18,1,2,1,0,87.55256364476847,102.03177834176714
2023-01-18,2,2,1,1,108.6776476401199,115.34289669664355
2023-01-18,3,2,1,0,131.64763431005252,123.95740605355593
2023-01-18,4,2,1,0,125.41706870578831,119.90957709685975
2023-01-19,1,3,1,1,91.76376414344958,108.27874818429977
2023-01-19,2,3,1,1,105.32205201600371,140.6468214443565
2023-01-19,3,3,1,1,124.29721916781423,147.45108468824708
2023-01-19,4,3,1,0,131.8196999775097,136.0052442548264
2023-01-20,1,4,1,0,90.18293159609416,98.20474230259761
2023-01-20,2,4,1,0,94.11793306968538,109.50650458813139
2023-01-20,3,4,1,0,118.7943151953354,95.08373502168416
2023-01-20,4,4,1,0,148.0423940383298,116.88990698688019
2023-01-21,1,5,1,0,113.92355251491263,115.34523414644156
2023-01-21,2,5,1,0,108.85902309648495,125.63954830925812
2023-01-21,3,5,1,0,129.84435388093826,146.37301582465767
2023-01-21,4,5,1,0,129.5087484798628,143.2204783034206
2023-01-22,1,6,1,0,136.44656802406305,112.85729058453376
2023-01-22,2,6,1,0,154.00035137366422,116.52410944885787
2023-01-22,3,6,1,0,142.18844224114093,128.9942030538791
2023-01-22,4,6,1,0,150.58647764605104,162.55809790120392
2023-01-23,1,0,1,0,89.74867986892308,94.7495087738321
2023-01-23,2,0,1,0,86.91668194129718,94.01597586491569
2023-01-23,3,0,1,1,119.21455783464657,149.12127956390663
2023-01-23,4,0,1,0,127.90218638530996,132.79853058290473
2023-01-24,1,1,1,0,86.48981817401697,94.78876439019746
2023-01-24,2,1,1,1,103.69760802693915,128.4299277062906
2023-01-24,3,1,1,0,114.50688452840224,114.65277527148821
2023-01-24,4,1,1,1,138.56231941536117,156.77819317742401
2023-01-25,1,2,1,1,102.03177834176714,115.54063255591113
2023-01-25,2,2,1,0,115.34289669664355,104.81851779739483
2023-01-25,3,2,1,0,123.95740605355593,118.81730238709973
2023-01-25,4,2,1,0,119.90957709685975,126.73325461034
2023-01-26,1,3,1,0,108.27874818429977,98.05030580670832
2023-01-26,2,3,1,0,140.6468214443565,96.42638938510605
2023-01-26,3,3,1,0,147.45108468824708,120.37973939389781
2023-01-26,4,3,1,0,136.0052442548264,115.96801947951761
2023-01-27,1,4,1,0,98.20474230259761,90.44263026914159
2023-01-27,2,4,1,1,109.50650458813139,118.1680909170267
2023-01-27,3,4,1,0,95.08373502168416,126.35416087256137
2023-01-27,4,4,1,1,116.88990698688019,152.459113717791
2023-01-28,1,5,1,0,115.34523414644156,105.88897721405327
2023-01-28,2,5,1,0,125.63954830925812,113.79931604678109
2023-01-28,3,5,1,1,146.37301582465767,163.03889513979234
2023-01-28,4,5,1,0,143.2204783034206,138.39664194704946
2023-01-29,1,6,1,1,112.85729058453376,144.95953048987516
2023-01-29,2,6,1,0,116.52410944885787,113.54816745656944
2023-01-29,3,6,1,0,128.9942030538791,132.37504663040045
2023-01-29,4,6,1,0,162.55809790120392,137.7047982272015
2023-01-30,1,0,1,0,94.7495087738321,100.74622683673185
2023-01-30,2,0,1,0,94.01597586491569,100.00317273427856
2023-01-30,3,0,1,0,149.12127956390663,99.9746436641135
2023-01-30,4,0,1,0,132.79853058290473,129.52786641534595
2023-01-31,1,1,1,0,94.78876439019746,90.3209197601138
2023-01-31,2,1,1,0,128.4299277062906,107.64231956493273
2023-01-31,3,1,1,0,114.65277527148821,121.24978582874066
2023-01-31,4,1,1,0,156.77819317742401,120.88744645691776
2023-02-01,1,2,2,0,115.54063255591113,102.0820834962875
2023-02-01,2,2,2,0,104.81851779739483,113.38206037397106
2023-02-01,3,2,2,1,118.81730238709973,144.86723850281857
2023-02-01,4,2,2,0,126.73325461034,133.004433641648
2023-02-02,1,3,2,0,98.05030580670832,103.73908272701267
2023-02-02,2,3,2,0,96.42638938510605,109.047236128286
2023-02-02,3,3,2,0,120.37973939389781,111.23958792653477
2023-02-02,4,3,2,0,115.96801947951761,127.90744890654716
2023-02-03,1,4,2,1,90.44263026914159,115.69349050409673
2023-02-03,2,4,2,0,118.1680909170267,110.45107689663465
2023-02-03,3,4,2,0,126.35416087256137,123.82778902792379
2023-02-03,4,4,2,1,152.459113717791,154.73369941987139
2023-02-04,1,5,2,0,105.88897721405327,113.86187024636034
2023-02-04,2,5,2,1,113.79931604678109,153.77733188255084
2023-02-04,3,5,2,1,163.03889513979234,161.61891880607678
2023-02-04,4,5,2,0,138.39664194704946,147.1262873839517
2023-02-05,1,6,2,0,144.95953048987516,106.32600713338542
2023-02-05,2,6,2,0,113.54816745656944,111.41257130229438
2023-02-05,3,6,2,0,132.37504663040045,150.6715545836135
2023-02-05,4,6,2,0,137.7047982272015,150.94849671536258
2023-02-06,1,0,2,1,100.74622683673185,123.36959079784337
2023-02-06,2,0,2,0,100.00317273427856,111.07463517410244
2023-02-06,3,0,2,0,99.9746436641135,137.6435061636413
2023-02-06,4,0,2,1,129.52786641534595,166.81901129552458
2023-02-07,1,1,2,0,90.3209197601138,102.9161876779554
2023-02-07,2,1,2,0,107.64231956493273,119.88850694317257
2023-02-07,3,1,2,1,121.24978582874066,151.61673336860673
2023-02-07,4,1,2,0,120.88744645691776,139.36365060247695
2023-02-08,1,2,2,0,102.0820834962875,98.66062237402697
2023-02-08,2,2,2,0,113.38206037397106,93.91605895970832
2023-02-08,3,2,2,0,144.86723850281857,121.14635418732902
2023-02-08,4,2,2,0,133.004433641648,132.07354979277514
2023-02-09,1,3,2,0,103.73908272701267,94.91753252765136
2023-02-09,2,3,2,0,109.047236128286,87.39489668836866
2023-02-09,3,3,2,0,111.23958792653477,122.34529628034349
2023-02-09,4,3,2,0,127.90744890654716,143.2802927075204
2023-02-10,1,4,2,0,115.69349050409673,92.09689731688006
2023-02-10,2,4,2,0,110.45107689663465,107.8852318272982
